날짜,가격
2022-01-01,32702
2022-02-01,37676
2022-03-01,38439
2022-04-01,34467
2022-05-01,36148
2022-06-01,36706
2022-07-01,36050
2022-08-01,36963
2022-09-01,37928
2022-10-01,32722
2022-11-01,29971
2022-12-01,29763
2023-01-01,30477
2023-02-01,34340
2023-03-01,30648
