날짜,가격
2022-01-01,1019
2022-02-01,1015
2022-03-01,1052
2022-04-01,1083
2022-05-01,1108
2022-06-01,1122
2022-07-01,1120
2022-08-01,1122
2022-09-01,1119
2022-10-01,1121
2022-11-01,1133
2022-12-01,1141
2023-01-01,1139
2023-02-01,1193
2023-03-01,1292
