날짜,가격
2022-01-01,1248
2022-02-01,1086
2022-03-01,884
2022-04-01,1015
2022-05-01,921
2022-06-01,1040
2022-07-01,2222
2022-08-01,2136
2022-09-01,1873
2022-10-01,1084
2022-11-01,941
2022-12-01,1085
2023-01-01,1556
2023-02-01,1218
2023-03-01,1128
