날짜,가격
2022-01-01,3045
2022-02-01,2768
2022-03-01,2915
2022-04-01,-
2022-05-01,-
2022-06-01,-
2022-07-01,-
2022-08-01,-
2022-09-01,-
2022-10-01,5067
2022-11-01,3271
2022-12-01,2986
2023-01-01,3188
2023-02-01,3321
2023-03-01,7627
