날짜,가격
2022-01-01,-
2022-02-01,-
2022-03-01,-
2022-04-01,-
2022-05-01,-
2022-06-01,-
2022-07-01,15765 
2022-08-01,12408 
2022-09-01,8099 
2022-10-01,7795 
2022-11-01,7269 
2022-12-01,-
2023-01-01,-
2023-02-01,-
2023-03-01,-
