날짜,가격
2022-01-01,6207
2022-02-01,6423
2022-03-01,0
2022-04-01,0
2022-05-01,0
2022-06-01,0
2022-07-01,3202
2022-08-01,4180
2022-09-01,4575
2022-10-01,5328
2022-11-01,6612
2022-12-01,6780
2023-01-01,6348
2023-02-01,6311
2023-03-01,6066
