날짜,가격
2022-01-01,19357
2022-02-01,19863
2022-03-01,21123
2022-04-01,19038
2022-05-01,21076
2022-06-01,21744
2022-07-01,22543
2022-08-01,22263
2022-09-01,-
2022-10-01,15530
2022-11-01,15129
2022-12-01,15676
2023-01-01,16848
2023-02-01,17183
2023-03-01,16235
