날짜,가격
2022-01-01,1750
2022-02-01,1750
2022-03-01,1750
2022-04-01,1654
2022-05-01,1750
2022-06-01,1756
2022-07-01,1858
2022-08-01,2163
2022-09-01,2270
2022-10-01,2217
2022-11-01,2020
2022-12-01,2143
2023-01-01,2174
2023-02-01,2021
2023-03-01,2132
