날짜,가격
2022-01-01,21820
2022-02-01,21820
2022-03-01,22365
2022-04-01,22481
2022-05-01,22713
2022-06-01,22405
2022-07-01,21596
2022-08-01,20041
2022-09-01,18999
2022-10-01,18905
2022-11-01,17078
2022-12-01,17479
2023-01-01,18708
2023-02-01,18710
2023-03-01,18727
