날짜,CJ제일제당_밀가루_1kg_가격,대한제분_밀가루_1kg_가격,평균_가격
2022-01-01,1689,1599,1644
2022-02-01,1740,1653,1696
2022-03-01,1741,1682,1711
2022-04-01,1773,1720,1746
2022-05-01,2022,1882,1952
2022-06-01,2125,2028,2077
2022-07-01,2152,2048,2100
2022-08-01,2175,2063,2119
2022-09-01,2154,2050,2102
2022-10-01,2147,2071,2109
2022-11-01,2150,2080,2115
2022-12-01,2148,2082,2115
2023-01-01,2101,1979,2040
2023-02-01,2132,2091,2112
2023-03-01,2150,2091,2121
