날짜,가격
2022-01-01,52726 
2022-02-01,51663 
2022-03-01,51600 
2022-04-01,50918 
2022-05-01,49615 
2022-06-01,49071 
2022-07-01,48943 
2022-08-01,46931 
2022-09-01,46116 
2022-10-01,48360 
2022-11-01,52188 
2022-12-01,51176 
2023-01-01,50426 
2023-02-01,49900 
2023-03-01,49646 
2023-04-01,49227 
